name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
Petit Game Collection vol.1,19-01-2024,11241,8.0,55429.0,3.0,,Indie,WSS playground,WSS playground,2757490
Nie No Hakoniwa - Dollhouse of Offerings,15-02-2024,2185,30.0,55324.0,9.8,78.0,Indie,Sekai Project,Chatte Noire,2527450
Mimic Logic,22-02-2024,15387,4.0,55254.0,9.8,99.0,Indie,Nihohe Soft,Nihohe Soft,2455920
Body Pay,19-04-2024,8417,8.0,55093.0,1.4,77.0,Indie,Cheese Burger Studio,Cheese Burger Studio,2909170
COLLEGE SEX FEST 2024,02-05-2024,6723,13.0,54904.0,2.0,62.0,Indie,Inturo Games Inc.,Inturo Games Inc.,2842860
Human Farm - Practice Section,08-03-2024,10095,7.0,54805.0,2.1,86.0,Indie,072 Project,とっくり海月,2516590
YUME 4,12-01-2024,18572,5.0,54457.0,1.2,78.0,Indie,Lovely Games,,2602730
PERFECT CELLS PROJECT,31-07-2024,6494,10.0,54356.0,2.0,81.0,Indie,Playmeow,ShinshiMoustache,2688650
Sex Euphoria 💖,03-02-2024,8232,10.0,54348.0,1.6,74.0,Indie,Romantic Room,Romantic Room,2740180
Feed the Deep,16-08-2024,9909,7.0,54316.0,3.4,94.0,Indie,Luke Muscat,Luke Muscat,2332260
Lifecraft,16-04-2024,2832,23.0,54293.0,9.2,83.0,Indie,Pixbits,Pixbits,1839930
Valiant Hearts: Coming Home,24-05-2024,4242,15.0,54185.0,2.0,66.0,AAA,Ubisoft,"Ubisoft Da Nang,Ubisoft Montpellier",2741360
RKGK / Rakugaki,22-05-2024,3298,20.0,54015.0,3.5,77.0,Indie,Wabisabi Games,Wabisabi Games,2146570
Chill Town,22-03-2024,4474,15.0,53847.0,8.5,72.0,Indie,Low-Hi Tech,Low-Hi Tech,1940200
Werewolf: The Apocalypse — The Book of Hungry Names,25-04-2024,3708,20.0,53836.0,20.2,89.0,Indie,Choice of Games,Choice of Games,2402280
"美女,应接不暇",14-05-2024,8294,10.0,53711.0,4.9,89.0,Indie,筠悦游戏,筠悦游戏,2753730
Heroes of Eternal Quest,23-01-2024,5554,12.0,53606.0,5.2,79.0,Indie,Surefire.Games,Drakkar Game Studio,2234200
Coin Pusher Casino,29-02-2024,5712,12.45,53577.0,20.6,90.0,Indie,TreeNutsGames,TreeNutsGames,2178590
Lunar's Chosen - Episode 1,21-03-2024,6065,12.0,53520.0,17.0,89.0,Indie,PTGames,PTGames,1695680
Love Chase,20-05-2024,11298,6.0,53201.0,5.8,88.0,Indie,Topgame,Topgame,2812850
Ocean Keeper: Dome Survival,18-07-2024,8573,8.0,53194.0,3.4,87.0,Indie,RetroStyle Games,RetroStyle Games,2845630
Innocent Grape,21-06-2024,9419,7.0,53093.0,1.3,86.0,Indie,TopHouse Publishing,"TopHouse Studio,Abel Games",2924050
The Land Beneath Us,13-05-2024,4863,15.0,53038.0,7.2,83.0,Indie,"Dear Villagers,Gamera Games",FairPlay Studios Co. Ltd,2131010
KUNKUN Defender,02-05-2024,24898,3.0,52877.0,2.5,98.0,Indie,Seal,Seal,2902540
Sex Magic 🔮,24-02-2024,8640,10.0,52803.0,1.5,74.0,Indie,Lust Desires 🖤,Lust Desires 🖤,2800520
My Horse: Bonded Spirits,19-06-2024,3457,20.0,52635.0,3.1,57.0,Indie,"Games Incubator,PlayWay S.A.",Games Incubator,2376970
Suzukuri Dungeon: Karin in the Mountain,20-08-2024,2908,25.0,52578.0,7.9,80.0,Indie,Shiravune,Karin Project,1552140
BAKERU,03-09-2024,1611,40.0,52181.0,3.1,97.0,AA,"Spike Chunsoft Co., Ltd.","Good-Feel Co., Ltd.",2969380
Cricket Captain 2024,06-06-2024,1932,30.0,52146.0,34.6,71.0,Indie,Childish Things Ltd,Childish Things Ltd,2900670
The Last Alchemist,12-07-2024,3193,20.0,51994.0,5.5,82.0,Indie,Marvelous Europe,Vile Monarch,1536570
Single By Choice,23-06-2024,7910,8.0,51747.0,2.3,93.0,Indie,"LewdLoco,AIROTS","AIROTS,非魚創意",2812180
Demonsomnia,13-08-2024,4813,14.0,51562.0,1.3,32.0,Indie,Woziva,Woziva,2506820
Sophia the Traveler,11-04-2024,7069,9.0,51514.0,2.2,90.0,Indie,Thermite Games,Memo Gogo,1602540
Thought Experiment Simulator,22-07-2024,12613,5.0,51396.0,1.4,86.0,AA,Gamera Games,HoHo Game Studio,2696320
Hotel Business Simulator,04-06-2024,5597,13.0,51368.0,8.1,50.0,Indie,Midnight Games,Geekon,2738870
We Are Lost,20-02-2024,8863,10.0,51305.0,2.2,72.0,Indie,MaDDoG,MaDDoG,2431690
